playerTeam,home_or_away,result
ANA,AWAY,lose
ANA,HOME,win
ANA,HOME,win
ANA,HOME,win
ANA,HOME,lose
ANA,HOME,lose
ANA,AWAY,lose
ANA,HOME,lose
ANA,HOME,lose
ANA,HOME,win
ANA,AWAY,win
ANA,AWAY,win
ANA,AWAY,win
ANA,AWAY,lose
ANA,AWAY,win
ANA,HOME,lose
ANA,AWAY,win
ANA,HOME,lose
ANA,HOME,lose
ANA,HOME,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,HOME,lose
ANA,HOME,draw
ANA,AWAY,lose
ANA,AWAY,lose
ANA,HOME,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,win
ANA,AWAY,win
ANA,HOME,lose
ANA,HOME,lose
ANA,HOME,win
ANA,HOME,lose
ANA,HOME,lose
ANA,HOME,lose
ANA,HOME,lose
ANA,HOME,lose
ANA,AWAY,win
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,win
ANA,AWAY,lose
ANA,AWAY,lose
ANA,HOME,lose
ANA,HOME,win
ANA,AWAY,lose
ANA,AWAY,win
ANA,HOME,win
ANA,HOME,lose
ANA,AWAY,lose
ANA,AWAY,win
ANA,AWAY,lose
ANA,AWAY,win
ANA,HOME,lose
ANA,AWAY,draw
ANA,HOME,lose
ANA,AWAY,win
ANA,HOME,win
ANA,HOME,lose
ANA,HOME,win
ANA,HOME,lose
ANA,HOME,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,HOME,lose
ANA,HOME,win
ANA,HOME,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,lose
ANA,AWAY,win
ANA,HOME,lose
ANA,HOME,draw
ANA,HOME,win
ANA,HOME,lose
ANA,AWAY,lose
ANA,AWAY,win
ARI,AWAY,draw
ARI,AWAY,lose
ARI,AWAY,lose
ARI,HOME,lose
ARI,AWAY,lose
ARI,HOME,lose
ARI,AWAY,win
ARI,AWAY,win
ARI,HOME,win
ARI,HOME,win
ARI,AWAY,lose
ARI,HOME,win
ARI,HOME,lose
ARI,HOME,win
ARI,HOME,win
ARI,HOME,win
ARI,AWAY,lose
ARI,HOME,lose
ARI,HOME,win
ARI,AWAY,lose
ARI,HOME,lose
ARI,AWAY,lose
ARI,HOME,draw
ARI,AWAY,lose
ARI,AWAY,lose
ARI,HOME,win
ARI,AWAY,win
ARI,HOME,win
ARI,AWAY,lose
ARI,HOME,win
ARI,AWAY,win
ARI,AWAY,win
ARI,AWAY,lose
ARI,HOME,win
ARI,AWAY,win
ARI,HOME,lose
ARI,HOME,lose
ARI,HOME,lose
ARI,HOME,win
ARI,HOME,lose
ARI,AWAY,win
ARI,AWAY,lose
ARI,AWAY,lose
ARI,HOME,win
ARI,HOME,win
ARI,AWAY,lose
ARI,AWAY,lose
ARI,AWAY,lose
ARI,HOME,lose
ARI,AWAY,lose
ARI,AWAY,lose
ARI,HOME,lose
ARI,HOME,lose
ARI,AWAY,lose
ARI,HOME,lose
ARI,HOME,lose
ARI,AWAY,lose
ARI,AWAY,lose
ARI,AWAY,lose
ARI,AWAY,win
ARI,AWAY,win
ARI,HOME,lose
ARI,HOME,lose
ARI,HOME,win
ARI,AWAY,lose
ARI,AWAY,lose
ARI,AWAY,win
ARI,HOME,win
ARI,AWAY,lose
ARI,HOME,win
ARI,HOME,lose
ARI,HOME,win
ARI,HOME,win
ARI,HOME,lose
ARI,HOME,lose
ARI,HOME,win
ARI,AWAY,win
ARI,AWAY,lose
ARI,AWAY,win
ARI,AWAY,win
ARI,AWAY,lose
ARI,HOME,win
BOS,HOME,win
BOS,HOME,win
BOS,AWAY,lose
BOS,HOME,win
BOS,AWAY,draw
BOS,AWAY,win
BOS,HOME,lose
BOS,AWAY,win
BOS,HOME,lose
BOS,AWAY,win
BOS,AWAY,lose
BOS,AWAY,win
BOS,AWAY,lose
BOS,HOME,lose
BOS,AWAY,win
BOS,HOME,win
BOS,HOME,win
BOS,HOME,win
BOS,AWAY,win
BOS,HOME,draw
BOS,AWAY,win
BOS,AWAY,lose
BOS,HOME,lose
BOS,AWAY,win
BOS,HOME,win
BOS,HOME,win
BOS,AWAY,draw
BOS,AWAY,lose
BOS,AWAY,lose
BOS,AWAY,win
BOS,AWAY,lose
BOS,HOME,win
BOS,AWAY,win
BOS,AWAY,lose
BOS,HOME,win
BOS,AWAY,win
BOS,HOME,win
BOS,HOME,lose
BOS,HOME,win
BOS,AWAY,lose
BOS,HOME,win
BOS,AWAY,lose
BOS,HOME,lose
BOS,HOME,win
BOS,AWAY,win
BOS,AWAY,win
BOS,AWAY,win
BOS,HOME,win
BOS,HOME,lose
BOS,HOME,lose
BOS,HOME,win
BOS,HOME,win
BOS,HOME,lose
BOS,HOME,lose
BOS,HOME,draw
BOS,AWAY,win
BOS,HOME,lose
BOS,AWAY,win
BOS,HOME,lose
BOS,HOME,lose
BOS,HOME,draw
BOS,AWAY,lose
BOS,AWAY,win
BOS,HOME,win
BOS,AWAY,lose
BOS,AWAY,win
BOS,AWAY,lose
BOS,AWAY,lose
BOS,AWAY,draw
BOS,HOME,lose
BOS,HOME,win
BOS,HOME,lose
BOS,AWAY,lose
BOS,AWAY,win
BOS,AWAY,win
BOS,HOME,lose
BOS,HOME,lose
BOS,HOME,win
BOS,HOME,win
BOS,HOME,lose
BOS,AWAY,win
BOS,HOME,win
BOS,HOME,win
BOS,HOME,lose
BOS,AWAY,lose
BOS,AWAY,win
BOS,AWAY,lose
BOS,AWAY,draw
BOS,AWAY,win
BOS,AWAY,win
BOS,HOME,win
BOS,HOME,lose
BOS,AWAY,win
BOS,AWAY,lose
BOS,HOME,lose
BUF,HOME,lose
BUF,HOME,win
BUF,AWAY,lose
