playerTeam,home_or_away,TotalShotsFor,TotalShotsAgainst
ANA,AWAY,60,548
ARI,AWAY,42,412
BOS,AWAY,62,397
BUF,AWAY,42,359
CAR,AWAY,77,307
CBJ,AWAY,51,327
CGY,AWAY,62,363
CHI,AWAY,56,327
COL,AWAY,45,389
DAL,AWAY,76,396
DET,AWAY,46,393
EDM,AWAY,93,442
FLA,AWAY,89,473
LAK,AWAY,53,414
MIN,AWAY,47,448
MTL,AWAY,35,350
NJD,AWAY,46,324
NSH,AWAY,48,354
NYI,AWAY,28,383
NYR,AWAY,71,449
OTT,AWAY,54,343
PHI,AWAY,72,283
PIT,AWAY,39,334
SEA,AWAY,42,348
SJS,AWAY,42,420
STL,AWAY,49,294
TBL,AWAY,73,415
TOR,AWAY,47,354
VAN,AWAY,46,401
VGK,AWAY,54,386
WPG,AWAY,42,352
WSH,AWAY,37,401
ANA,HOME,53,475
ARI,HOME,51,374
BOS,HOME,64,412
BUF,HOME,60,330
CAR,HOME,66,275
CBJ,HOME,35,417
CGY,HOME,56,306
CHI,HOME,33,254
COL,HOME,64,367
DAL,HOME,41,294
DET,HOME,40,374
EDM,HOME,66,381
FLA,HOME,77,364
LAK,HOME,48,441
MIN,HOME,30,362
MTL,HOME,50,467
NJD,HOME,44,311
NSH,HOME,46,309
NYI,HOME,37,327
NYR,HOME,75,317
OTT,HOME,46,295
PHI,HOME,72,349
PIT,HOME,50,320
SEA,HOME,36,302
SJS,HOME,33,396
STL,HOME,46,322
TBL,HOME,45,246
TOR,HOME,56,370
VAN,HOME,57,374
VGK,HOME,47,342
WPG,HOME,41,354
WSH,HOME,35,361
