playerTeam,home_or_away,TotalGoalsFor,TotalGoalsAgainst
ANA,AWAY,61,85
ARI,AWAY,77,91
BOS,AWAY,100,79
BUF,AWAY,86,83
CAR,AWAY,91,86
CBJ,AWAY,87,102
CGY,AWAY,81,99
CHI,AWAY,49,113
COL,AWAY,99,111
DAL,AWAY,108,89
DET,AWAY,81,107
EDM,AWAY,97,100
FLA,AWAY,97,76
LAK,AWAY,89,87
MIN,AWAY,74,86
MTL,AWAY,83,90
NJD,AWAY,92,84
NSH,AWAY,94,73
NYI,AWAY,92,90
NYR,AWAY,99,99
OTT,AWAY,76,92
PHI,AWAY,93,92
PIT,AWAY,93,87
SEA,AWAY,72,72
SJS,AWAY,61,119
STL,AWAY,67,90
TBL,AWAY,79,104
TOR,AWAY,102,88
VAN,AWAY,102,87
VGK,AWAY,94,102
WPG,AWAY,82,68
WSH,AWAY,68,98
ANA,HOME,66,89
ARI,HOME,95,81
BOS,HOME,96,78
BUF,HOME,89,76
CAR,HOME,101,80
CBJ,HOME,88,94
CGY,HOME,86,83
CHI,HOME,69,89
COL,HOME,123,80
DAL,HOME,120,101
DET,HOME,98,83
EDM,HOME,150,105
FLA,HOME,103,82
LAK,HOME,88,68
MIN,HOME,85,77
MTL,HOME,77,76
NJD,HOME,85,101
NSH,HOME,81,91
NYI,HOME,82,78
NYR,HOME,93,93
OTT,HOME,87,101
PHI,HOME,71,88
PIT,HOME,86,85
SEA,HOME,72,74
SJS,HOME,58,107
STL,HOME,84,77
TBL,HOME,100,97
TOR,HOME,109,92
VAN,HOME,107,74
VGK,HOME,91,72
WPG,HOME,109,70
WSH,HOME,80,84
