playerTeam,home_or_away,TotalShotsFor,TotalShotsAgainst
ANA,AWAY,264,31
ARI,AWAY,271,49
BOS,AWAY,325,56
BUF,AWAY,255,52
CAR,AWAY,384,49
CBJ,AWAY,300,41
CGY,AWAY,361,59
CHI,AWAY,300,42
COL,AWAY,408,55
DAL,AWAY,396,55
DET,AWAY,342,63
EDM,AWAY,447,55
FLA,AWAY,582,73
LAK,AWAY,329,51
MIN,AWAY,466,37
MTL,AWAY,273,40
NJD,AWAY,305,45
NSH,AWAY,388,58
NYI,AWAY,372,56
NYR,AWAY,416,57
OTT,AWAY,391,51
PHI,AWAY,289,51
PIT,AWAY,307,58
SEA,AWAY,327,41
SJS,AWAY,242,45
STL,AWAY,340,45
TBL,AWAY,371,42
TOR,AWAY,348,58
VAN,AWAY,375,39
VGK,AWAY,375,56
WPG,AWAY,325,36
WSH,AWAY,314,54
ANA,HOME,304,46
ARI,HOME,305,47
BOS,HOME,403,68
BUF,HOME,326,39
CAR,HOME,429,55
CBJ,HOME,360,48
CGY,HOME,334,52
CHI,HOME,277,46
COL,HOME,444,64
DAL,HOME,403,59
DET,HOME,399,62
EDM,HOME,432,35
FLA,HOME,598,66
LAK,HOME,376,46
MIN,HOME,470,50
MTL,HOME,326,68
NJD,HOME,397,50
NSH,HOME,425,43
NYI,HOME,265,52
NYR,HOME,465,53
OTT,HOME,399,45
PHI,HOME,422,50
PIT,HOME,454,74
SEA,HOME,352,45
SJS,HOME,261,70
STL,HOME,335,46
TBL,HOME,350,59
TOR,HOME,414,73
VAN,HOME,463,64
VGK,HOME,314,55
WPG,HOME,330,47
WSH,HOME,354,49
