playerTeam,home_or_away,TotalShotsFor,TotalShotsAgainst
ANA,AWAY,127,162
ARI,AWAY,122,150
BOS,AWAY,148,231
BUF,AWAY,161,145
CAR,AWAY,157,118
CBJ,AWAY,146,140
CGY,AWAY,160,145
CHI,AWAY,73,99
COL,AWAY,180,219
DAL,AWAY,136,190
DET,AWAY,148,126
EDM,AWAY,187,174
FLA,AWAY,189,195
LAK,AWAY,117,117
MIN,AWAY,147,144
MTL,AWAY,95,174
NJD,AWAY,126,139
NSH,AWAY,153,161
NYI,AWAY,112,161
NYR,AWAY,212,160
OTT,AWAY,177,106
PHI,AWAY,132,183
PIT,AWAY,135,134
SEA,AWAY,138,149
SJS,AWAY,115,165
STL,AWAY,167,106
TBL,AWAY,160,176
TOR,AWAY,211,167
VAN,AWAY,127,186
VGK,AWAY,129,135
WPG,AWAY,100,159
WSH,AWAY,113,151
ANA,HOME,179,183
ARI,HOME,135,148
BOS,HOME,192,162
BUF,HOME,158,105
CAR,HOME,159,125
CBJ,HOME,151,156
CGY,HOME,157,150
CHI,HOME,130,137
COL,HOME,109,87
DAL,HOME,203,161
DET,HOME,150,143
EDM,HOME,171,157
FLA,HOME,264,186
LAK,HOME,149,137
MIN,HOME,129,127
MTL,HOME,168,161
NJD,HOME,176,145
NSH,HOME,168,113
NYI,HOME,144,170
NYR,HOME,179,153
OTT,HOME,138,136
PHI,HOME,156,148
PIT,HOME,177,129
SEA,HOME,107,129
SJS,HOME,102,146
STL,HOME,138,137
TBL,HOME,153,131
TOR,HOME,176,185
VAN,HOME,154,175
VGK,HOME,144,108
WPG,HOME,121,132
WSH,HOME,130,138
