playerTeam,home_or_away,TotalGoalsFor,TotalGoalsAgainst
ANA,AWAY,104,154
ARI,AWAY,119,142
BOS,AWAY,143,124
BUF,AWAY,121,129
CAR,AWAY,156,126
CBJ,AWAY,111,162
CGY,AWAY,128,138
CHI,AWAY,79,162
COL,AWAY,159,164
DAL,AWAY,168,127
DET,AWAY,128,149
EDM,AWAY,157,162
FLA,AWAY,170,127
LAK,AWAY,134,126
MIN,AWAY,124,129
MTL,AWAY,115,144
NJD,AWAY,135,132
NSH,AWAY,139,128
NYI,AWAY,127,148
NYR,AWAY,165,137
OTT,AWAY,117,136
PHI,AWAY,121,135
PIT,AWAY,122,129
SEA,AWAY,103,116
SJS,AWAY,87,164
STL,AWAY,105,131
TBL,AWAY,137,155
TOR,AWAY,154,131
VAN,AWAY,149,137
VGK,AWAY,138,148
WPG,AWAY,125,111
WSH,AWAY,105,142
ANA,HOME,99,139
ARI,HOME,135,132
BOS,HOME,151,128
BUF,HOME,123,114
CAR,HOME,159,117
CBJ,HOME,123,136
CGY,HOME,125,129
CHI,HOME,99,127
COL,HOME,186,125
DAL,HOME,178,153
DET,HOME,147,124
EDM,HOME,221,139
FLA,HOME,168,133
LAK,HOME,133,106
MIN,HOME,124,131
MTL,HOME,117,137
NJD,HOME,129,149
NSH,HOME,139,133
NYI,HOME,130,129
NYR,HOME,160,131
OTT,HOME,133,145
PHI,HOME,110,123
PIT,HOME,131,119
SEA,HOME,111,116
SJS,HOME,93,162
STL,HOME,129,117
TBL,HOME,165,132
TOR,HOME,156,148
VAN,HOME,163,120
VGK,HOME,141,111
WPG,HOME,149,115
WSH,HOME,118,125
