playerTeam,home_or_away,TotalGoalsFor,TotalGoalsAgainst
ANA,AWAY,13,13
ARI,AWAY,10,24
BOS,AWAY,17,18
BUF,AWAY,17,15
CAR,AWAY,22,11
CBJ,AWAY,9,22
CGY,AWAY,19,14
CHI,AWAY,12,14
COL,AWAY,28,21
DAL,AWAY,15,10
DET,AWAY,19,12
EDM,AWAY,21,22
FLA,AWAY,29,25
LAK,AWAY,14,12
MIN,AWAY,18,9
MTL,AWAY,11,24
NJD,AWAY,20,21
NSH,AWAY,17,25
NYI,AWAY,9,25
NYR,AWAY,30,12
OTT,AWAY,18,11
PHI,AWAY,12,21
PIT,AWAY,14,14
SEA,AWAY,9,19
SJS,AWAY,9,19
STL,AWAY,13,14
TBL,AWAY,24,25
TOR,AWAY,24,15
VAN,AWAY,18,20
VGK,AWAY,16,18
WPG,AWAY,21,12
WSH,AWAY,15,12
ANA,HOME,15,18
ARI,HOME,14,16
BOS,HOME,20,23
BUF,HOME,12,13
CAR,HOME,24,14
CBJ,HOME,17,21
CGY,HOME,16,16
CHI,HOME,13,13
COL,HOME,15,13
DAL,HOME,26,22
DET,HOME,20,14
EDM,HOME,22,15
FLA,HOME,26,16
LAK,HOME,16,15
MIN,HOME,15,17
MTL,HOME,12,21
NJD,HOME,18,23
NSH,HOME,23,16
NYI,HOME,17,23
NYR,HOME,23,16
OTT,HOME,15,15
PHI,HOME,13,18
PIT,HOME,19,8
SEA,HOME,8,18
SJS,HOME,10,19
STL,HOME,17,18
TBL,HOME,23,17
TOR,HOME,17,22
VAN,HOME,19,17
VGK,HOME,18,16
WPG,HOME,14,17
WSH,HOME,12,13
ANA,AWAY,13,13
ARI,AWAY,10,24
BOS,AWAY,17,18
BUF,AWAY,17,15
CAR,AWAY,22,11
CBJ,AWAY,9,22
CGY,AWAY,19,14
CHI,AWAY,12,14
COL,AWAY,28,21
DAL,AWAY,15,10
DET,AWAY,19,12
EDM,AWAY,21,22
FLA,AWAY,29,25
LAK,AWAY,14,12
MIN,AWAY,18,9
MTL,AWAY,11,24
NJD,AWAY,20,21
NSH,AWAY,17,25
NYI,AWAY,9,25
NYR,AWAY,30,12
OTT,AWAY,18,11
PHI,AWAY,12,21
PIT,AWAY,14,14
SEA,AWAY,9,19
SJS,AWAY,9,19
STL,AWAY,13,14
TBL,AWAY,24,25
TOR,AWAY,24,15
VAN,AWAY,18,20
VGK,AWAY,16,18
WPG,AWAY,21,12
WSH,AWAY,15,12
ANA,HOME,15,18
ARI,HOME,14,16
BOS,HOME,20,23
BUF,HOME,12,13
CAR,HOME,24,14
CBJ,HOME,17,21
CGY,HOME,16,16
CHI,HOME,13,13
COL,HOME,15,13
DAL,HOME,26,22
DET,HOME,20,14
EDM,HOME,22,15
FLA,HOME,26,16
LAK,HOME,16,15
MIN,HOME,15,17
MTL,HOME,12,21
NJD,HOME,18,23
NSH,HOME,23,16
NYI,HOME,17,23
NYR,HOME,23,16
OTT,HOME,15,15
PHI,HOME,13,18
PIT,HOME,19,8
SEA,HOME,8,18
SJS,HOME,10,19
STL,HOME,17,18
TBL,HOME,23,17
TOR,HOME,17,22
VAN,HOME,19,17
VGK,HOME,18,16
WPG,HOME,14,17
WSH,HOME,12,13
