playerTeam,home_or_away,TotalShotsFor,TotalShotsAgainst
ANA,AWAY,1613,1948
ARI,AWAY,1791,1947
BOS,AWAY,2028,2419
BUF,AWAY,1852,2023
CAR,AWAY,2621,1934
CBJ,AWAY,2026,2221
CGY,AWAY,1967,2031
CHI,AWAY,1681,2171
COL,AWAY,2412,2238
DAL,AWAY,2657,2416
DET,AWAY,1752,2161
EDM,AWAY,2676,2288
FLA,AWAY,2469,2166
LAK,AWAY,2245,1956
MIN,AWAY,1871,1896
MTL,AWAY,1736,2195
NJD,AWAY,2018,1943
NSH,AWAY,2156,2095
NYI,AWAY,1997,2471
NYR,AWAY,2268,2546
OTT,AWAY,1975,2004
PHI,AWAY,2083,2043
PIT,AWAY,2083,1955
SEA,AWAY,2017,1935
SJS,AWAY,1770,2371
STL,AWAY,1704,2174
TBL,AWAY,1972,1985
TOR,AWAY,2248,2213
VAN,AWAY,2115,2136
VGK,AWAY,2147,2371
WPG,AWAY,2072,2043
WSH,AWAY,1876,2192
ANA,HOME,1731,1917
ARI,HOME,1933,2003
BOS,HOME,2080,2248
BUF,HOME,2072,1798
CAR,HOME,2814,1802
CBJ,HOME,1983,2165
CGY,HOME,2160,1903
CHI,HOME,1706,2189
COL,HOME,2445,2102
DAL,HOME,2638,2407
DET,HOME,1804,2015
EDM,HOME,2792,2409
FLA,HOME,3003,2225
LAK,HOME,2211,1820
MIN,HOME,1844,1870
MTL,HOME,1850,2081
NJD,HOME,2020,1795
NSH,HOME,2156,2013
NYI,HOME,2156,2311
NYR,HOME,2458,2349
OTT,HOME,2008,1912
PHI,HOME,2026,1810
PIT,HOME,2116,2039
SEA,HOME,2020,1895
SJS,HOME,1805,2213
STL,HOME,1772,2026
TBL,HOME,2130,2028
TOR,HOME,2202,2071
VAN,HOME,2203,2000
VGK,HOME,2221,2262
WPG,HOME,2178,2080
WSH,HOME,1950,2140
